Language / Locale,Language Name,Title (<=30),Short Description (<=80),Full Description (<=4000)
en-US,English (United States),PureLock: Privacy App Lock,"Offline App Lock & AES-256 Vault. Zero cloud, zero ads, maximum privacy.","PureLock is a lightweight, privacy-first security suite and encrypted vault engineered to protect your apps, passwords, and private notes. PureLock is 100% offline with zero cloud synchronization, zero trackers, and zero internet permissions.

🔒 CORE FEATURES:
• App Lock & App Shield: Protect any installed app (Social, Banking, Photos, Settings) with PIN, Pattern, or Biometrics.
• Encrypted Secret Vault: Store passwords, secret credentials, and private notes with military-grade AES-256-GCM encryption.
• Intruder Snapshot: Captures photos of unauthorized intruders on incorrect unlock attempts.
• Decoy Vault: Set up a fake vault with a separate PIN for duress situations.
• Shake-to-Lock: Instantly lock all protected apps and the vault with a fast shake gesture.
• Offline Password Generator: Generate cryptographically secure passwords on the fly.
• Autofill Service: Seamlessly autofill your credentials without sending data over the network.

🛡️ 100% OFFLINE PRIVACY GUARANTEE:
PureLock operates with ZERO internet permissions (android.permission.INTERNET is completely absent). Your encrypted data, photos, and app usage remain exclusively on your device at all times.

────────────────────────────────────────
ACCESSIBILITY SERVICE API USAGE & DISCLOSURE
────────────────────────────────────────
PureLock uses the AccessibilityService API strictly to provide its core App Lock (App Shield) feature.

• How it is used: PureLock monitors window state change events (TYPE_WINDOW_STATE_CHANGED) in real-time solely to detect when a user-protected application is opened in the foreground. Once detected, PureLock immediately presents a secure PIN, Pattern, or Biometric lock overlay to prevent unauthorized access.
• Privacy & Data Protection: PureLock DOES NOT read, capture, or access user screen content, keystrokes, passwords, or personal messages. 
• Zero Data Collection: PureLock does not collect, store, or transmit any user data. PureLock operates completely offline with zero internet permissions (android.permission.INTERNET is not requested).

Accessibility service permission is optional and only requested when you choose to protect applications with App Lock. It can be enabled or disabled anytime in your device's Accessibility Settings."
es-419,Spanish (Latin America),PureLock: Bloqueo de Apps,"Bloqueo de apps offline y bóveda AES-256. Sin anuncios ni nube, pura privacidad.","PureLock es una suite de seguridad y bóveda cifrada 100% offline diseñada para proteger tus aplicaciones, contraseñas y notas privadas. Funciona sin sincronización en la nube, sin rastreadores y sin permisos de Internet.

🔒 FUNCIONES PRINCIPALES:
• Bloqueo de Apps (App Shield): Protege cualquier aplicación con PIN, Patrón o Biometría.
• Bóveda Cifrada: Guarda contraseñas y notas con cifrado militar AES-256-GCM.
• Foto de Intrusos: Captura selfies de intentos no autorizados con PIN incorrecto.
• Bóveda Falsa (Decoy): Configura una bóveda señuelo para situaciones de coacción.
• Agitar para Bloquear: Bloqueo de emergencia instantáneo al agitar el dispositivo.
• Generador de Contraseñas: Crea claves seguras de alta entropía sin conexión.
• Servicio de Autocompletado: Rellena credenciales directamente sin conexión a la red.

🛡️ GARANTÍA DE PRIVACIDAD 100% OFFLINE:
PureLock no tiene permisos de Internet. Tus datos cifrados y fotos permanecen exclusivamente en tu dispositivo.

────────────────────────────────────────
USO Y DIVULGACIÓN DE LA API DE ACCESIBILIDAD
────────────────────────────────────────
PureLock utiliza la API de AccessibilityService estrictamente para proporcionar su función principal de Bloqueo de Aplicaciones (App Shield).

• Cómo se utiliza: PureLock monitorea los eventos de cambio de ventana (TYPE_WINDOW_STATE_CHANGED) exclusivamente para detectar cuándo se abre una aplicación protegida en primer plano y mostrar de inmediato la pantalla de bloqueo seguro (PIN, Patrón o Huella).
• Privacidad y Seguridad: PureLock NO lee, captura ni accede al contenido de la pantalla, pulsaciones de teclas, contraseñas ni mensajes personales.
• Cero recolección de datos: PureLock no recopila ni transmite ningún dato. Funciona 100% sin conexión (offline) y sin permiso de Internet."
es-ES,Spanish (Spain),PureLock: Bloqueo de Apps,"Bloqueo de apps offline y bóveda AES-256. Sin anuncios ni nube, pura privacidad.","PureLock es una suite de seguridad y bóveda cifrada 100% offline diseñada para proteger tus aplicaciones, contraseñas y notas privadas. Funciona sin sincronización en la nube, sin rastreadores y sin permisos de Internet.

🔒 FUNCIONES PRINCIPALES:
• Bloqueo de Apps (App Shield): Protege cualquier aplicación con PIN, Patrón o Biometría.
• Bóveda Cifrada: Guarda contraseñas y notas con cifrado militar AES-256-GCM.
• Foto de Intrusos: Captura selfies de intentos no autorizados con PIN incorrecto.
• Bóveda Falsa (Decoy): Configura una bóveda señuelo para situaciones de coacción.
• Agitar para Bloquear: Bloqueo de emergencia instantáneo al agitar el dispositivo.
• Generador de Contraseñas: Crea claves seguras de alta entropía sin conexión.
• Servicio de Autocompletado: Rellena credenciales directamente sin conexión a la red.

🛡️ GARANTÍA DE PRIVACIDAD 100% OFFLINE:
PureLock no tiene permisos de Internet. Tus datos cifrados y fotos permanecen exclusivamente en tu dispositivo.

────────────────────────────────────────
USO Y DIVULGACIÓN DE LA API DE ACCESIBILIDAD
────────────────────────────────────────
PureLock utiliza la API de AccessibilityService estrictamente para proporcionar su función principal de Bloqueo de Aplicaciones (App Shield).

• Cómo se utiliza: PureLock monitorea los eventos de cambio de ventana (TYPE_WINDOW_STATE_CHANGED) exclusivamente para detectar cuándo se abre una aplicación protegida en primer plano y mostrar de inmediato la pantalla de bloqueo seguro (PIN, Patrón o Huella).
• Privacidad y Seguridad: PureLock NO lee, captura ni accede al contenido de la pantalla, pulsaciones de teclas, contraseñas ni mensajes personales.
• Cero recolección de datos: PureLock no recopila ni transmite ningún dato. Funciona 100% sin conexión (offline) y sin permiso de Internet."
pt-BR,Portuguese (Brazil),PureLock: Bloqueio de Apps,"Bloqueio de apps offline e cofre AES-256. Sem anúncios, privacidade total.","PureLock é um pacote de segurança e cofre criptografado 100% offline desenvolvido para proteger seus aplicativos, senhas e anotações confidenciais. Sem nuvem, sem rastreadores e sem permissão de Internet.

🔒 RECURSOS PRINCIPAIS:
• Bloqueio de Apps (App Shield): Proteja qualquer aplicativo com PIN, Padrão ou Biometria.
• Cofre Criptografado: Guarde senhas e notas com criptografia de padrão militar AES-256-GCM.
• Foto de Intruso: Tira fotos automáticas após tentativas incorretas de desbloqueio.
• Cofre Falso (Decoy): Crie um cofre falso com PIN separado para situações de coerção.
• Agite para Bloquear: Bloqueio instantâneo ao agitar o celular.
• Gerador de Senhas Offline: Crie senhas fortes e seguras sem internet.
• Preenchimento Automático: Preencha credenciais com segurança diretamente no sistema.

🛡️ 100% OFFLINE E PRIVADO:
O PureLock opera sem nenhuma permissão de Internet. Seus dados nunca saem do seu aparelho.

────────────────────────────────────────
USO E DIVULGAÇÃO DA API ACCESSIBILITYSERVICE
────────────────────────────────────────
O PureLock utiliza a API AccessibilityService estritamente para fornecer sua função principal de Bloqueio de Aplicativos (App Shield).

• Como é utilizado: O PureLock monitora eventos de alteração de janela (TYPE_WINDOW_STATE_CHANGED) exclusivamente para detectar quando um aplicativo protegido é aberto em primeiro plano e exibir imediatamente a tela de bloqueio seguro (PIN, Padrão ou Biometria).
• Privacidade e Proteção de Dados: O PureLock NÃO lê, captura ou acessa o conteúdo da tela, digitação, senhas ou mensagens pessoais.
• Zero Coleta de Dados: O PureLock funciona 100% offline, sem nenhuma permissão de Internet."
pt-PT,Portuguese (Portugal),PureLock: Bloqueio de Apps,"Bloqueio de apps offline e cofre AES-256. Sem anúncios, privacidade total.","PureLock é um pacote de segurança e cofre criptografado 100% offline desenvolvido para proteger as suas aplicações, palavras-passe e notas confidenciais. Sem nuvem, sem rastreadores e sem permissão de Internet.

🔒 PRINCIPAIS FUNCIONALIDADES:
• Bloqueio de Aplicações: Proteja qualquer aplicação com PIN, Padrão ou Biometria.
• Cofre Criptografado: Guarde palavras-passe e notas com encriptação militar AES-256-GCM.
• Foto do Intruso: Fotografa tentativas de desbloqueio falhadas.
• Cofre Falso: Cofre alternativo para situações de coação.
• Agitar para Bloquear: Bloqueio de emergência ao abanar o telemóvel.
• Gerador de Palavras-passe: Crie credenciais de alta segurança offline.

🛡️ 100% OFFLINE:
O PureLock não possui permissões de Internet. Os seus dados permanecem estritamente no dispositivo.

────────────────────────────────────────
USO E DIVULGAÇÃO DA API ACCESSIBILITYSERVICE
────────────────────────────────────────
O PureLock utiliza a API AccessibilityService estritamente para fornecer sua função principal de Bloqueio de Aplicativos (App Shield).

• Como é utilizado: O PureLock monitora eventos de alteração de janela (TYPE_WINDOW_STATE_CHANGED) exclusivamente para detectar quando um aplicativo protegido é aberto em primeiro plano e exibir imediatamente a tela de bloqueio seguro (PIN, Padrão ou Biometria).
• Privacidade e Proteção de Dados: O PureLock NÃO lê, captura ou acessa o conteúdo da tela, digitação, senhas ou mensagens pessoais.
• Zero Coleta de Dados: O PureLock funciona 100% offline, sem nenhuma permissão de Internet."
fr-FR,French (France),PureLock: Verrouillage Apps,"Verrouillage d'apps hors ligne et coffre AES-256. Zéro cloud, zéro pub.","PureLock est une suite de sécurité et un coffre-fort chiffré 100% hors ligne conçu pour protéger vos applications, mots de passe et notes privées. Sans synchronisation cloud, sans trackers et sans permission Internet.

🔒 FONCTIONNALITÉS CLÉS:
• Verrouillage d'Apps (App Shield): Verrouillez vos applications avec PIN, Schéma ou Biométrie.
• Coffre Sécurisé Chiffré: Stockez mots de passe et notes sous chiffrement militaire AES-256-GCM.
• Photo d'Intrus: Capture automatique en cas de tentative de déverrouillage erronée.
• Faux Coffre (Leurre): Coffre secondaire avec code distinct en cas d'urgence.
• Secouer pour Verrouiller: Verrouillage d'urgence immédiat par simple secousse.
• Générateur de Mots de Passe: Générez des mots de passe robustes hors ligne.
• Service de Saisie Automatique: Remplissage sécurisé de vos identifiants.

🛡️ CONFIDENTIALITÉ 100% HORS LIGNE:
PureLock ne requiert AUCUNE autorisation Internet. Vos données ne quittent jamais votre appareil.

────────────────────────────────────────
UTILISATION DE L'API ACCESSIBILITYSERVICE ET DIVULGATION
────────────────────────────────────────
PureLock utilise l'API AccessibilityService uniquement pour fournir sa fonctionnalité principale de verrouillage d'applications (App Shield).

• Utilisation : PureLock surveille les changements d'état des fenêtres (TYPE_WINDOW_STATE_CHANGED) uniquement pour détecter l'ouverture d'une application protégée au premier plan et afficher instantanément l'écran de verrouillage sécurisé (PIN, Schéma ou Biométrie).
• Confidentialité : PureLock NE lit, NE capture et N'accède à aucun contenu d'écran, frappe de clavier, mot de passe ou message privé.
• Zéro collecte de données : PureLock fonctionne 100% hors ligne sans aucune permission Internet."
de-DE,German (Germany),PureLock: App Sperre & Tresor,"Offline App-Sperre & AES-256 Tresor. Ohne Cloud & Werbung, volle Privatsphäre.","PureLock ist eine minimalistische Sicherheits-Suite und ein verschlüsselter Tresor für Ihre Apps, Passwörter und privaten Notizen. 100% offline, ohne Cloud-Synchronisation, ohne Tracker und ohne Internetberechtigung.

🔒 HAUPTFUNKTIONEN:
• App-Sperre (App Shield): Sichern Sie jede App mit PIN, Muster oder Fingerabdruck.
• Verschlüsselter Tresor: Speichern Sie Passwörter und Notizen mit AES-256-GCM Verschlüsselung.
• Eindringlings-Foto: Automatische Fotoaufnahme bei falschen Entsperrversuchen.
• Schein-Tresor (Decoy): Zweiter Tresor mit separater PIN für Notfälle.
• Schütteln zum Sperren: Sofortige Notfallsperre durch Schüttelbewegung.
• Offline Passwort-Generator: Sichere Passwörter direkt auf dem Gerät erstellen.

🛡️ 100% OFFLINE-DATENSCHUTZ:
PureLock besitzt KEINE Internet-Berechtigung. Ihre Daten verbleiben ausschließlich lokal auf Ihrem Gerät.

────────────────────────────────────────
BARRIEREFREIHEITSDIENST (ACCESSIBILITY API) OFFENLEGUNG
────────────────────────────────────────
PureLock verwendet die AccessibilityService-API ausschließlich zur Bereitstellung der App-Sperrfunktion (App Shield).

• Verwendung: PureLock überwacht Fensterstatusänderungen (TYPE_WINDOW_STATE_CHANGED), um zu erkennen, wenn eine geschützte App im Vordergrund geöffnet wird, und zeigt sofort den sicheren Sperrbildschirm (PIN, Muster oder Biometrie) an.
• Datenschutz: PureLock liest, erfasst oder speichert KEINE Bildschirminhalte, Tastatureingaben, Passwörter oder persönliche Daten.
• Keine Datenerfassung: Die App funktioniert 100% offline ohne Internetberechtigung."
it-IT,Italian (Italy),PureLock: Blocco App e Vault,"Blocco app offline e cassaforte AES-256. Zero cloud, massima privacy.","PureLock è una suite di sicurezza e cassaforte crittografata al 100% offline per proteggere le tue app, password e note private. Nessun cloud, nessun tracciamento e nessuna autorizzazione Internet.

🔒 FUNZIONALITÀ PRINCIPALI:
• Blocco App (App Shield): Blocca qualsiasi app con PIN, Sequenza o Biometria.
• Cassaforte Crittografata: Salva password e note con crittografia AES-256-GCM.
• Selfie Intruso: Scatta foto in caso di tentativi di sblocco falliti.
• Cassaforte Civetta (Decoy): Configura una cassaforte secondaria con PIN separato.
• Scuoti per Bloccare: Blocco immediato di emergenza scuotendo il telefono.
• Generatore di Password: Crea credenziali complesse offline.

🛡️ PRIVACY AL 100% OFFLINE:
PureLock non ha autorizzazioni Internet. I tuoi dati rimangono solo sul tuo dispositivo.

────────────────────────────────────────
USO E DIVULGAZIONE DELL'API ACCESSIBILITYSERVICE
────────────────────────────────────────
PureLock utilizza l'API AccessibilityService esclusivamente per fornire la sua funzione principale di Blocco App (App Shield).

• Utilizzo: PureLock monitora gli eventi di cambio stato della finestra (TYPE_WINDOW_STATE_CHANGED) unicamente per rilevare quando un'app protetta viene aperta in primo piano e mostrare immediatamente la schermata di blocco sicura (PIN, Sequenza o Biometria).
• Privacy e Protezione Dati: PureLock NON legge, cattura o accede ai contenuti dello schermo, tasti digitati, password o messaggi personali.
• Zero Raccolta Dati: PureLock funziona al 100% offline, senza autorizzazioni Internet."
ru-RU,Russian (Russia),PureLock: Блокировка и Сейф,Офлайн блокировка приложений и сейф AES-256. Без рекламы и облака.,"PureLock — это автономный комплекс безопасности и зашифрованный сейф для защиты приложений, паролей и личных заметок. 100% офлайн, без передачи данных в облако, трекеров и без разрешений на доступ к Интернету.

🔒 ОСНОВНЫЕ ВОЗМОЖНОСТИ:
• Блокировка приложений: Защита приложений с помощью PIN-кода, графического ключа или биометрии.
• Зашифрованный сейф: Хранение паролей и заметок с военным шифрованием AES-256-GCM.
• Фото взломщика: Автоматический снимок при неверных попытках разблокировки.
• Ложный сейф (Decoy): Запасной сейф с отдельным PIN-кодом на случай принуждения.
• Блокировка встряхиванием: Мгновенная блокировка экрана при резком движении.
• Генератор паролей: Надежные пароли высокой сложности офлайн.

🛡️ 100% КОНФИДЕНЦИАЛЬНОСТЬ ОФЛАЙН:
У PureLock нет разрешений на доступ к Интернету. Все ваши данные хранятся исключительно на устройстве.

────────────────────────────────────────
ИСПОЛЬЗОВАНИЕ API ACCESSIBILITYSERVICE
────────────────────────────────────────
PureLock использует AccessibilityService API исключительно для обеспечения основной функции блокировки приложений (App Shield).

• Назначение: PureLock отслеживает события смены окон (TYPE_WINDOW_STATE_CHANGED) исключительно для определения запуска защищенного приложения на переднем плане и мгновенного отображения защитного экрана блокировки (PIN-код, графический ключ или биометрия).
• Конфиденциальность: PureLock НЕ читает, НЕ собирает и НЕ перехватывает содержимое экрана, нажатия клавиш, пароли или личные сообщения.
• Полный офлайн: PureLock работает на 100% автономно без разрешения на доступ к Интернету."
ja-JP,Japanese (Japan),PureLock: アプリロック＆保管庫,完全オフラインのアプリロック＆暗号化保管庫。広告なし、クラウド通信ゼロ。,"PureLockは、アプリ、パスワード、秘密のメモを保護するために設計された完全オフラインのプライバシー保護＆暗号化保管庫アプリです。クラウド同期、広告、トラッカー、インターネット通信権限は一切ありません。

🔒 主な機能:
• アプリロック（App Shield）: PIN、パターン、生体認証（指紋・顔）でアプリを保護。
• 暗号化秘密保管庫: 軍用レベルのAES-256-GCM暗号化でパスワードや重要メモを安全に保存。
• 侵入者撮影機能: ロック解除に失敗した際にインカメラで自動撮影。
• おとり保管庫（Decoy Vault）: 緊急時・強要時に開くダミー保管庫を設定可能。
• シェイクでロック: 端末を振るだけで瞬時にロックダウン。
• オフラインパスワード生成: 高強度のパスワードを端末内で自動生成。

🛡️ 100%完全オフライン保証:
PureLockにはインターネット通信権限（INTERNET）が一切ありません。データが外部へ漏洩するリスクはありません。

────────────────────────────────────────
ユーザー補助（ACCESSIBILITY SERVICE）APIの利用開示
────────────────────────────────────────
PureLockは、コア機能である「アプリロック（App Shield）」を提供するためにのみAccessibilityService APIを使用します。

・使用目的: 保護対象のアプリがフォアグラウンドで起動されたことを検知（TYPE_WINDOW_STATE_CHANGED）し、直ちに安全なロック画面（PIN、パターン、生体認証）を表示して不正アクセスを防ぎます。
・プライバシー保護: PureLockは、画面上のテキスト、キーストローク、パスワード、個人メッセージなどの内容を閲覧・収集・保存・送信することは一切ありません。
・完全オフライン: PureLockはインターネット通信権限を一切持たず、完全に端末内で動作します。"
